CustomerIndex,Geography,Gender,Age,AgeGroup,Balance,BalanceStatus,NumOfProducts,IsActiveMember,ActivityStatus,CreditScore,Tenure,EstimatedSalary,ChurnProbability,RiskScore,RiskLevel,CustomerValueScore,CustomerValueSegment,RetentionPriority,RecommendedAction
22,Spain,Female,38,36-45,0.0,Zero Balance,1,0,Inactive,510,4,118913.53,0.301394,30.1394,Moderate,2029.0500000000002,Low Value,Monitor,Monitor and engage
23,France,Male,46,46-55,0.0,Zero Balance,2,1,Active,669,3,8487.75,0.024261035,2.4261035,Low,3480.1499999999996,Low Value,Monitor,Standard engagement
24,France,Female,38,36-45,0.0,Zero Balance,1,1,Active,846,5,187616.16,0.22604983,22.604983,Moderate,2029.0500000000002,Low Value,Monitor,Monitor and engage
25,France,Male,25,18-25,0.0,Zero Balance,2,1,Active,577,3,124508.29,0.0037000182,0.37000182,Low,3480.1499999999996,Low Value,Monitor,Standard engagement
26,Germany,Male,36,36-45,136815.64,Positive Balance,1,1,Active,756,2,170041.95,0.21685307,21.685307,Moderate,6508.35,High Value,Medium,Proactive engagement
27,France,Male,44,36-45,0.0,Zero Balance,2,0,Inactive,571,9,38433.35,0.031646863,3.1646862999999996,Low,3480.1499999999996,Low Value,Monitor,Standard engagement
28,Germany,Female,43,36-45,141349.43,Positive Balance,1,1,Active,574,3,100187.43,0.34693995,34.693995,Moderate,6733.049999999998,High Value,Medium,Proactive engagement
29,France,Male,29,26-35,59697.17,Positive Balance,2,1,Active,411,0,53483.21,0.08629729,8.629729,Low,4852.150000000001,Medium Value,Monitor,Standard engagement
30,Spain,Female,39,36-45,0.0,Zero Balance,3,0,Inactive,591,3,140469.38,0.82566625,82.566625,Very High,4208.549999999999,Medium Value,High,Re-engagement campaign
31,France,Male,36,36-45,85311.7,Positive Balance,1,1,Active,533,7,156731.91,0.094984725,9.4984725,Low,3853.949999999999,Medium Value,Monitor,Standard engagement
32,Germany,Male,41,36-45,110112.54,Positive Balance,2,0,Inactive,553,9,81898.81,0.16277711,16.277711,Low,6412.45,High Value,Monitor,Standard engagement
33,Spain,Female,42,36-45,0.0,Zero Balance,2,1,Active,520,6,34410.55,0.048405692,4.8405692,Low,3480.1499999999996,Low Value,Monitor,Standard engagement
34,Spain,Female,29,26-35,0.0,Zero Balance,2,1,Active,722,9,142033.07,0.030328417,3.0328417,Low,3480.1499999999996,Low Value,Monitor,Standard engagement
35,France,Female,45,36-45,134264.04,Positive Balance,1,0,Inactive,475,0,27822.99,0.74008715,74.00871500000001,Very High,6395.649999999999,High Value,Critical,Priority relationship outreach
36,Spain,Male,31,26-35,145260.23,Positive Balance,1,1,Active,490,3,114066.77,0.052522127,5.2522127,Low,6904.549999999999,High Value,Monitor,Standard engagement
37,Spain,Male,33,26-35,76548.6,Positive Balance,1,1,Active,804,7,98453.45,0.033903334,3.3903334,Low,3621.5499999999993,Medium Value,Monitor,Standard engagement
38,France,Male,36,36-45,0.0,Zero Balance,1,1,Active,850,7,40812.9,0.096559934,9.6559934,Low,2029.0500000000002,Low Value,Monitor,Standard engagement
39,Germany,Male,41,36-45,70349.48,Positive Balance,2,1,Active,582,6,178074.04,0.05635819,5.635819000000001,Low,4969.05,Medium Value,Monitor,Standard engagement
40,Spain,Male,40,36-45,0.0,Zero Balance,1,0,Inactive,472,4,70154.22,0.2740453,27.404529999999998,Moderate,2029.0500000000002,Low Value,Monitor,Monitor and engage
41,France,Female,51,46-55,122522.32,Positive Balance,1,0,Inactive,465,8,181297.65,0.7771348,77.71348,Very High,5697.049999999998,Medium Value,High,Re-engagement campaign
42,France,Female,61,56-65,117419.35,Positive Balance,1,1,Active,556,2,94153.83,0.17926921,17.926921,Low,5391.150000000001,Medium Value,Monitor,Standard engagement
43,France,Female,49,46-55,131394.56,Positive Balance,1,0,Inactive,834,2,194365.76,0.46547675,46.547675,High,6236.049999999999,High Value,Critical,Priority relationship outreach
44,Spain,Female,61,56-65,155931.11,Positive Balance,1,1,Active,660,5,158338.39,0.18927692,18.927692,Low,7269.95,High Value,Monitor,Standard engagement
45,Germany,Female,32,26-35,109421.13,Positive Balance,2,1,Active,776,4,126517.46,0.06908735,6.908735000000001,Low,6373.249999999999,High Value,Monitor,Standard engagement
46,Germany,Female,27,26-35,112045.67,Positive Balance,1,1,Active,829,9,119708.21,0.31587,31.587,Moderate,5071.250000000001,Medium Value,Monitor,Monitor and engage
47,Germany,Female,39,36-45,137843.8,Positive Balance,1,1,Active,637,9,117622.8,0.43218505,43.218505,High,6567.85,High Value,Critical,Priority relationship outreach
48,Germany,Male,38,36-45,103391.38,Positive Balance,1,1,Active,550,2,90878.13,0.20554541,20.554541,Moderate,4576.349999999999,Medium Value,Monitor,Monitor and engage
49,Germany,Female,37,36-45,103769.22,Positive Balance,2,0,Inactive,776,2,194099.12,0.14529124,14.529124,Low,6047.049999999999,High Value,Monitor,Standard engagement
50,Germany,Male,44,36-45,116363.37,Positive Balance,2,0,Inactive,698,10,198059.16,0.10426019,10.426019,Low,6779.249999999999,High Value,Monitor,Standard engagement
51,Germany,Male,36,36-45,146050.97,Positive Balance,2,0,Inactive,585,5,86424.57,0.04699485,4.699485,Low,8388.55,High Value,Monitor,Standard engagement
52,France,Female,33,26-35,0.0,Zero Balance,2,0,Inactive,788,5,116978.19,0.025837164,2.5837164,Low,3480.1499999999996,Low Value,Monitor,Standard engagement
53,Germany,Male,41,36-45,125561.97,Positive Balance,1,0,Inactive,655,8,164040.94,0.42692098,42.692098,High,5888.15,Medium Value,High,Re-engagement campaign
54,Germany,Male,42,36-45,98495.72,Positive Balance,1,0,Inactive,601,1,40014.76,0.35808378,35.808378000000005,High,4325.049999999999,Medium Value,High,Re-engagement campaign
55,France,Male,43,36-45,125211.92,Positive Balance,1,1,Active,619,1,113410.49,0.17840576,17.840576,Low,5862.95,Medium Value,Monitor,Standard engagement
56,France,Male,45,36-45,127864.4,Positive Balance,1,0,Inactive,656,5,87107.57,0.31684083,31.684083,Moderate,6033.05,High Value,Medium,Proactive engagement
57,Germany,Male,19,18-25,75888.2,Positive Balance,1,0,Inactive,725,0,45613.75,0.075359456,7.535945600000001,Low,3608.2499999999995,Medium Value,Monitor,Standard engagement
58,Spain,Female,66,66+,0.0,Zero Balance,1,0,Inactive,511,4,1643.11,0.85630983,85.630983,Very High,2029.0500000000002,Low Value,High,Re-engagement campaign
59,France,Male,51,46-55,40685.92,Positive Balance,1,1,Active,614,4,46775.28,0.5139797,51.39797,High,3319.1499999999996,Low Value,Medium,Product engagement review
60,Germany,Male,35,26-35,136857.0,Positive Balance,1,0,Inactive,742,5,84509.57,0.26590392,26.590392,Moderate,6511.849999999999,High Value,Medium,Proactive engagement
61,Germany,Female,27,26-35,152328.88,Positive Balance,2,0,Inactive,687,9,126494.82,0.042296518,4.2296518,Low,8613.25,High Value,Monitor,Standard engagement
62,Spain,Male,33,26-35,56084.69,Positive Balance,2,0,Inactive,555,1,178798.13,0.08180972,8.180972,Low,4822.749999999999,Medium Value,Monitor,Standard engagement
63,Spain,Male,56,56-65,78707.16,Positive Balance,1,1,Active,684,8,99398.36,0.15945399,15.945398999999998,Low,3667.7499999999995,Medium Value,Monitor,Standard engagement
64,Germany,Male,26,26-35,109166.37,Positive Balance,1,1,Active,603,4,92840.67,0.13807207,13.807206999999998,Low,4909.549999999999,Medium Value,Monitor,Standard engagement
65,Germany,Female,36,36-45,169831.46,Positive Balance,2,1,Active,751,6,27758.36,0.052589517,5.2589517,Low,8987.749999999998,High Value,Monitor,Standard engagement
66,Germany,Female,34,26-35,101633.04,Positive Balance,1,0,Inactive,581,1,110431.51,0.29574007,29.574007,Moderate,4482.55,Medium Value,Monitor,Monitor and engage
67,Germany,Male,43,36-45,123180.01,Positive Balance,2,1,Active,735,10,196673.28,0.089348994,8.9348994,Low,7185.250000000001,High Value,Monitor,Standard engagement
68,Germany,Female,35,26-35,150725.53,Positive Balance,2,1,Active,661,5,113656.85,0.043628693,4.362869300000001,Low,8557.25,High Value,Monitor,Standard engagement
69,France,Female,21,18-25,98373.26,Positive Balance,1,0,Inactive,675,8,18203.0,0.048611753,4.8611753,Low,4318.05,Medium Value,Monitor,Standard engagement
70,Germany,Male,58,56-65,133745.44,Positive Balance,4,0,Inactive,738,2,28373.86,0.9989643,99.89643000000001,Very High,8592.55,High Value,Critical,Priority relationship outreach
71,France,Male,29,26-35,0.0,Zero Balance,1,0,Inactive,813,6,33953.87,0.229813,22.981299999999997,Moderate,2029.0500000000002,Low Value,Monitor,Monitor and engage
72,Spain,Female,37,36-45,163607.18,Positive Balance,1,1,Active,657,0,44203.55,0.14095919,14.095919000000002,Low,7422.549999999999,High Value,Monitor,Standard engagement
73,Germany,Female,25,18-25,157780.84,Positive Balance,2,1,Active,604,5,58426.81,0.016746234,1.6746233999999998,Low,8768.65,High Value,Monitor,Standard engagement
74,France,Male,36,36-45,0.0,Zero Balance,2,1,Active,519,9,145562.4,0.027438026,2.7438026,Low,3480.1499999999996,Low Value,Monitor,Standard engagement
75,France,Female,21,18-25,178718.19,Positive Balance,2,0,Inactive,735,1,22388.0,0.13853317,13.853317,Low,9090.65,High Value,Monitor,Standard engagement
76,France,Male,55,46-55,0.0,Zero Balance,2,1,Active,664,8,139161.64,0.04831456,4.831456,Low,3480.1499999999996,Low Value,Monitor,Standard engagement
77,France,Female,32,26-35,0.0,Zero Balance,1,1,Active,678,9,148210.64,0.108924195,10.8924195,Low,2029.0500000000002,Low Value,Monitor,Standard engagement
78,Spain,Male,33,26-35,77253.22,Positive Balance,1,1,Active,757,5,194239.63,0.112286255,11.2286255,Low,3635.5499999999997,Medium Value,Monitor,Standard engagement
79,Germany,Female,41,36-45,122189.66,Positive Balance,2,0,Inactive,416,10,98301.61,0.31613895,31.613894999999996,Moderate,7121.549999999999,High Value,Medium,Proactive engagement
80,France,Female,34,26-35,96645.54,Positive Balance,2,0,Inactive,665,1,171413.66,0.056992743,5.6992743,Low,5683.049999999999,Medium Value,Monitor,Standard engagement
81,France,Female,32,26-35,0.0,Zero Balance,1,0,Inactive,777,2,136458.19,0.22486609,22.486608999999998,Moderate,2029.0500000000002,Low Value,Monitor,Monitor and engage
82,France,Female,36,36-45,0.0,Zero Balance,2,0,Inactive,543,3,26019.59,0.04279645,4.279645,Low,3480.1499999999996,Low Value,Monitor,Standard engagement
83,France,Female,34,26-35,90307.62,Positive Balance,1,1,Active,506,4,159235.29,0.0646451,6.46451,Low,3993.9499999999994,Medium Value,Monitor,Standard engagement
84,France,Female,46,46-55,0.0,Zero Balance,2,0,Inactive,493,4,1907.66,0.14997798,14.997798000000001,Low,3480.1499999999996,Low Value,Monitor,Standard engagement
85,Spain,Female,75,66+,0.0,Zero Balance,2,1,Active,652,10,114675.75,0.004015664,0.40156640000000005,Low,3480.1499999999996,Low Value,Monitor,Standard engagement
86,Spain,Male,22,18-25,121681.82,Positive Balance,1,0,Inactive,750,3,128643.35,0.22807337,22.807337,Moderate,5640.349999999999,Medium Value,Monitor,Monitor and engage
87,France,Male,30,26-35,0.0,Zero Balance,2,0,Inactive,729,9,151869.35,0.012461332,1.2461332,Low,3480.1499999999996,Low Value,Monitor,Standard engagement
88,France,Female,46,46-55,0.0,Zero Balance,3,0,Inactive,646,4,93251.42,0.9045123,90.45123000000001,Very High,4208.549999999999,Medium Value,High,Re-engagement campaign
89,Germany,Female,28,26-35,81623.67,Positive Balance,2,1,Active,635,3,156791.36,0.021272395,2.1272395,Low,5197.95,Medium Value,Monitor,Standard engagement
90,Spain,Female,44,36-45,0.0,Zero Balance,3,1,Active,647,5,174205.22,0.8848506,88.48506,Very High,4208.549999999999,Medium Value,High,Targeted retention outreach
91,France,Male,45,36-45,118626.55,Positive Balance,2,0,Inactive,808,7,147132.46,0.09497269,9.497269,Low,6912.25,High Value,Monitor,Standard engagement
92,France,Female,36,36-45,0.0,Zero Balance,2,0,Inactive,524,10,109614.57,0.081904836,8.1904836,Low,3480.1499999999996,Low Value,Monitor,Standard engagement
93,France,Male,29,26-35,0.0,Zero Balance,2,1,Active,769,8,172290.61,0.011142706,1.1142706,Low,3480.1499999999996,Low Value,Monitor,Standard engagement
94,Spain,Male,42,36-45,0.0,Zero Balance,2,1,Active,730,4,85982.47,0.020869639,2.0869638999999998,Low,3480.1499999999996,Low Value,Monitor,Standard engagement
95,Spain,Male,35,26-35,176273.95,Positive Balance,1,1,Active,515,10,121277.78,0.10795106,10.795106,Low,7617.85,High Value,Monitor,Standard engagement
96,Spain,Male,41,36-45,102827.44,Positive Balance,1,1,Active,773,9,64595.25,0.06552291,6.552291,Low,4543.45,Medium Value,Monitor,Standard engagement
97,Germany,Male,29,26-35,97086.4,Positive Balance,2,1,Active,814,8,197276.13,0.02146728,2.146728,Low,5711.049999999999,Medium Value,Monitor,Standard engagement
98,Spain,Male,22,18-25,0.0,Zero Balance,2,0,Inactive,710,8,99645.04,0.022900071,2.2900071,Low,3480.1499999999996,Low Value,Monitor,Standard engagement
99,France,Male,34,26-35,0.0,Zero Balance,2,0,Inactive,413,9,6534.18,0.03771797,3.7717970000000003,Low,3480.1499999999996,Low Value,Monitor,Standard engagement
100,France,Female,40,36-45,0.0,Zero Balance,1,1,Active,665,6,161848.03,0.31016973,31.016972999999997,Moderate,2029.0500000000002,Low Value,Monitor,Monitor and engage
101,France,Female,44,36-45,0.0,Zero Balance,2,0,Inactive,623,6,167162.43,0.11060463,11.060463,Low,3480.1499999999996,Low Value,Monitor,Standard engagement
102,France,Male,31,26-35,82674.15,Positive Balance,1,0,Inactive,738,9,41970.72,0.06639205,6.639205,Low,3776.2499999999995,Medium Value,Monitor,Standard engagement
103,Spain,Male,36,36-45,0.0,Zero Balance,2,0,Inactive,528,7,60536.56,0.025900645,2.5900645,Low,3480.1499999999996,Low Value,Monitor,Standard engagement
104,Spain,Female,65,56-65,0.0,Zero Balance,1,1,Active,670,1,177655.68,0.23520488,23.520488,Moderate,2029.0500000000002,Low Value,Monitor,Monitor and engage
105,Spain,Female,46,46-55,107073.27,Positive Balance,2,1,Active,622,4,30984.59,0.28375727,28.375727,Moderate,6232.55,High Value,Medium,Proactive engagement
106,Germany,Male,32,26-35,88938.62,Positive Balance,1,1,Active,582,1,10054.53,0.045205105,4.5205105,Low,3951.9499999999994,Medium Value,Monitor,Standard engagement
107,Germany,Female,36,36-45,99806.85,Positive Balance,1,1,Active,785,2,36976.52,0.22236803,22.236803,Moderate,4391.549999999999,Medium Value,Monitor,Monitor and engage
108,Spain,Male,33,26-35,150092.8,Positive Balance,1,0,Inactive,605,5,71862.79,0.0739523,7.39523,Low,7085.849999999999,High Value,Monitor,Standard engagement
109,Germany,Male,35,26-35,92833.89,Positive Balance,1,0,Inactive,479,9,99449.86,0.22958425,22.958425,Moderate,4086.3499999999995,Medium Value,Monitor,Monitor and engage
110,Germany,Male,30,26-35,90536.81,Positive Balance,1,1,Active,685,3,63082.88,0.091324806,9.1324806,Low,4002.35,Medium Value,Monitor,Standard engagement
111,Germany,Male,39,36-45,108055.1,Positive Balance,2,0,Inactive,538,7,27231.26,0.19459386,19.459386000000002,Low,6285.75,High Value,Monitor,Standard engagement
112,France,Male,42,36-45,100238.35,Positive Balance,1,0,Inactive,562,2,86797.41,0.13506432,13.506431999999998,Low,4413.949999999999,Medium Value,Monitor,Standard engagement
113,Spain,Male,36,36-45,106190.55,Positive Balance,1,1,Active,675,9,22994.32,0.05265221,5.2652209999999995,Low,4728.249999999999,Medium Value,Monitor,Standard engagement
114,Germany,Male,28,26-35,154475.54,Positive Balance,2,1,Active,721,9,101300.94,0.045407504,4.5407504,Low,8678.349999999999,High Value,Monitor,Standard engagement
115,Germany,Female,30,26-35,132351.29,Positive Balance,2,1,Active,628,9,74169.13,0.10468154,10.468154,Low,7738.249999999999,High Value,Monitor,Standard engagement
116,Germany,Female,37,36-45,167864.4,Positive Balance,1,0,Inactive,668,6,115638.29,0.20367676,20.367676000000003,Moderate,7506.55,High Value,Medium,Proactive engagement
117,France,Female,41,36-45,0.0,Zero Balance,2,0,Inactive,506,1,31766.3,0.04754645,4.754645,Low,3480.1499999999996,Low Value,Monitor,Standard engagement
118,Germany,Female,31,26-35,107818.63,Positive Balance,1,0,Inactive,524,8,199725.39,0.59479475,59.479475,High,4819.949999999999,Medium Value,High,Re-engagement campaign
119,Germany,Male,34,26-35,185173.81,Positive Balance,2,0,Inactive,699,4,120834.48,0.016590167,1.6590167,Low,9136.150000000001,High Value,Monitor,Standard engagement
120,France,Male,34,26-35,129433.34,Positive Balance,2,0,Inactive,828,8,38131.77,0.019991485,1.9991485,Low,7576.55,High Value,Monitor,Standard engagement
121,Spain,Male,39,36-45,120193.42,Positive Balance,1,0,Inactive,674,6,100130.95,0.10448495,10.448495,Low,5550.049999999999,Medium Value,Monitor,Standard engagement
122,France,Female,39,36-45,0.0,Zero Balance,2,0,Inactive,656,6,141069.88,0.071018584,7.101858399999999,Low,3480.1499999999996,Low Value,Monitor,Standard engagement
123,Germany,Female,48,46-55,126384.42,Positive Balance,1,1,Active,684,10,198129.36,0.4528075,45.28075,High,5930.849999999999,Medium Value,High,Product engagement review
124,France,Female,28,26-35,0.0,Zero Balance,1,0,Inactive,625,3,183646.41,0.34171113,34.171113,Moderate,2029.0500000000002,Low Value,Monitor,Monitor and engage
125,France,Male,42,36-45,152603.45,Positive Balance,1,0,Inactive,432,9,110265.24,0.2716898,27.168979999999998,Moderate,7173.349999999999,High Value,Medium,Proactive engagement
126,France,Female,52,46-55,0.0,Zero Balance,1,1,Active,549,1,8636.05,0.726398,72.6398,Very High,2029.0500000000002,Low Value,High,Product engagement review
127,Germany,Male,56,56-65,148507.24,Positive Balance,1,0,Inactive,625,0,46824.08,0.9831161,98.31161,Very High,7031.249999999998,High Value,Critical,Priority relationship outreach
128,France,Female,41,36-45,0.0,Zero Balance,2,0,Inactive,828,7,171378.77,0.049293928,4.9293928000000005,Low,3480.1499999999996,Low Value,Monitor,Standard engagement
129,France,Male,24,18-25,101827.07,Positive Balance,1,0,Inactive,770,9,167256.35,0.082220316,8.2220316,Low,4488.85,Medium Value,Monitor,Standard engagement
130,France,Female,34,26-35,0.0,Zero Balance,2,1,Active,758,3,124226.16,0.016062355,1.6062355,Low,3480.1499999999996,Low Value,Monitor,Standard engagement
131,Germany,Female,33,26-35,130862.43,Positive Balance,1,1,Active,795,9,114935.21,0.2360386,23.603859999999997,Moderate,6209.45,High Value,Medium,Proactive engagement
132,France,Male,38,36-45,122570.87,Positive Balance,1,1,Active,687,9,35608.88,0.05794148,5.794148,Low,5704.749999999999,Medium Value,Monitor,Standard engagement
133,France,Male,25,18-25,0.0,Zero Balance,2,1,Active,686,1,16459.37,0.0038493653,0.38493653,Low,3480.1499999999996,Low Value,Monitor,Standard engagement
134,Germany,Male,39,36-45,124828.46,Positive Balance,2,1,Active,789,7,124411.08,0.08409333,8.409333,Low,7295.15,High Value,Monitor,Standard engagement
135,Germany,Female,50,46-55,144895.05,Positive Balance,2,1,Active,589,5,34941.23,0.25663084,25.663084,Moderate,8336.75,High Value,Medium,Proactive engagement
136,Germany,Female,34,26-35,63663.93,Positive Balance,1,1,Active,461,5,167784.28,0.085442334,8.5442334,Low,3442.35,Low Value,Monitor,Standard engagement
137,France,Male,40,36-45,133463.1,Positive Balance,1,1,Active,637,2,93165.34,0.13167818,13.167818,Low,6347.349999999999,High Value,Monitor,Standard engagement
138,Spain,Female,48,46-55,213146.2,Positive Balance,1,0,Inactive,584,2,75161.25,0.8336104,83.36104,Very High,7758.549999999999,High Value,Critical,Priority relationship outreach
139,Spain,Female,35,26-35,129490.36,Positive Balance,2,1,Active,579,1,8590.83,0.07514944,7.514944,Low,7578.650000000001,High Value,Monitor,Standard engagement
140,Germany,Male,44,36-45,137452.09,Positive Balance,1,0,Inactive,756,10,189543.9,0.53656507,53.656507,High,6539.150000000001,High Value,Critical,Priority relationship outreach
141,France,Male,34,26-35,0.0,Zero Balance,2,1,Active,663,7,180427.24,0.010853745,1.0853745,Low,3480.1499999999996,Low Value,Monitor,Standard engagement
142,France,Female,43,36-45,125851.93,Positive Balance,1,1,Active,682,5,193318.33,0.10761017,10.761017,Low,5904.25,Medium Value,Monitor,Standard engagement
143,Spain,Male,52,46-55,0.0,Zero Balance,1,0,Inactive,793,2,159123.82,0.71672034,71.672034,Very High,2029.0500000000002,Low Value,High,Re-engagement campaign
144,France,Female,31,26-35,40915.55,Positive Balance,1,0,Inactive,691,5,126213.84,0.3120566,31.20566,Moderate,3319.8499999999995,Low Value,Monitor,Monitor and engage
145,Spain,Female,21,18-25,113157.22,Positive Balance,1,1,Active,485,5,54141.5,0.033139937,3.3139937,Low,5133.55,Medium Value,Monitor,Standard engagement
146,Spain,Female,29,26-35,138296.94,Positive Balance,2,0,Inactive,635,8,141075.51,0.13211377,13.211376999999999,Low,8047.650000000001,High Value,Monitor,Standard engagement
147,France,Male,37,36-45,106967.18,Positive Balance,1,0,Inactive,650,5,24495.03,0.09248704,9.248704,Low,4775.849999999999,Medium Value,Monitor,Standard engagement
148,France,Male,44,36-45,120681.63,Positive Balance,1,0,Inactive,735,9,74836.34,0.24916174,24.916173999999998,Moderate,5569.65,Medium Value,Monitor,Monitor and engage
149,France,Male,32,26-35,0.0,Zero Balance,2,1,Active,416,0,878.87,0.024127739,2.4127739,Low,3480.1499999999996,Low Value,Monitor,Standard engagement
150,Spain,Female,32,26-35,0.0,Zero Balance,2,0,Inactive,754,7,89520.75,0.01847342,1.847342,Low,3480.1499999999996,Low Value,Monitor,Standard engagement
151,France,Female,48,46-55,0.0,Zero Balance,1,0,Inactive,535,9,149892.79,0.88837254,88.837254,Very High,2029.0500000000002,Low Value,High,Re-engagement campaign
152,Spain,Male,42,36-45,0.0,Zero Balance,2,0,Inactive,716,8,180800.42,0.036202166,3.6202166,Low,3480.1499999999996,Low Value,Monitor,Standard engagement
153,France,Male,37,36-45,127609.59,Positive Balance,1,0,Inactive,539,2,98646.22,0.07167254,7.167254000000001,Low,6009.25,High Value,Monitor,Standard engagement
154,France,Female,43,36-45,0.0,Zero Balance,2,1,Active,614,6,109041.53,0.063216075,6.3216075,Low,3480.1499999999996,Low Value,Monitor,Standard engagement
155,Spain,Male,57,56-65,0.0,Zero Balance,1,0,Inactive,706,7,17941.16,0.9740199,97.40199000000001,Very High,2029.0500000000002,Low Value,High,Re-engagement campaign
156,France,Female,33,26-35,0.0,Zero Balance,2,0,Inactive,758,7,82996.47,0.018760882,1.8760881999999999,Low,3480.1499999999996,Low Value,Monitor,Standard engagement
157,Spain,Female,28,26-35,0.0,Zero Balance,2,1,Active,586,2,92067.35,0.0142900655,1.42900655,Low,3480.1499999999996,Low Value,Monitor,Standard engagement
158,France,Female,73,66+,97259.25,Positive Balance,1,1,Active,646,6,104719.66,0.015675314,1.5675314,Low,4265.549999999999,Medium Value,Monitor,Standard engagement
159,Germany,Female,33,26-35,123246.7,Positive Balance,1,0,Inactive,631,4,112687.57,0.44459698,44.459697999999996,High,5740.449999999999,Medium Value,High,Re-engagement campaign
160,Spain,Female,22,18-25,101060.25,Positive Balance,1,1,Active,717,6,84699.56,0.042231917,4.2231917,Low,4452.45,Medium Value,Monitor,Standard engagement
161,France,Male,30,26-35,0.0,Zero Balance,2,0,Inactive,684,2,83473.82,0.008897316,0.8897316000000001,Low,3480.1499999999996,Low Value,Monitor,Standard engagement
162,France,Female,49,46-55,108007.36,Positive Balance,1,0,Inactive,800,7,47125.11,0.43838915,43.838915,High,4831.85,Medium Value,High,Re-engagement campaign
163,Spain,Female,36,36-45,0.0,Zero Balance,2,1,Active,721,2,106977.8,0.029883478,2.9883478,Low,3480.1499999999996,Low Value,Monitor,Standard engagement
164,Spain,Male,29,26-35,133702.89,Positive Balance,1,0,Inactive,683,0,55582.54,0.14581095,14.581095,Low,6361.3499999999985,High Value,Monitor,Standard engagement
